cik,name,entityType,sic,sicDescription,ownerOrg,insiderTransactionForOwnerExists,insiderTransactionForIssuerExists,tickers,exchanges,ein,description,website,investorWebsite,category,fiscalYearEnd,stateOfIncorporation,stateOfIncorporationDescription,phone,flags,mailing_street1,mailing_street2,mailing_city,mailing_stateOrCountry,mailing_zipCode,mailing_stateOrCountryDescription,business_street1,business_street2,business_city,business_stateOrCountry,business_zipCode,business_stateOrCountryDescription
0000879526,WABASH NATIONAL Corp,operating,3715,Truck Trailers,04 Manufacturing,1,1,WNC,NYSE,521375208,,,,Large accelerated filer,1231,DE,DE,7657715310,,3900 MCCARTY LANE,,LAFAYETTE,IN,47905,IN,3900 MCCARTY LANE,,LAFAYETTE,IN,47905,IN
0001822966,NUSCALE POWER Corp,operating,3443,Fabricated Plate Work (Boiler Shops),04 Manufacturing,0,1,"SMR,SMR-WT","NYSE,NYSE",852715384,,,,<br>Emerging growth company,1231,DE,DE,(971) 371-1592,,"1100 NE CIRCLE BLVD., SUITE 200",,CORVALLIS,OR,97330,OR,"1100 NE CIRCLE BLVD., SUITE 200",,CORVALLIS,OR,97330,OR
0001600620,Aurinia Pharmaceuticals Inc.,operating,2834,Pharmaceutical Preparations,03 Life Sciences,0,1,AUPH,Nasdaq,981231763,,,,Large accelerated filer,1231,,,250-744-2487,,"#140, 14315 - 118 AVENUE",,EDMONTON,A0,T5L 4S6,"Alberta, Canada","#140, 14315 - 118 AVENUE",,EDMONTON,A0,T5L 4S6,"Alberta, Canada"
0001812364,"Relay Therapeutics, Inc.",operating,2836,"Biological Products, (No Diagnostic Substances)",03 Life Sciences,0,1,RLAY,Nasdaq,000000000,,,,Large accelerated filer,1231,DE,DE,617-370-8837,,399 BINNEY STREET,2ND FLOOR,CAMBRIDGE,MA,02139,MA,399 BINNEY STREET,2ND FLOOR,CAMBRIDGE,MA,02139,MA
0001971213,"Sinclair, Inc.",operating,4833,Television Broadcasting Stations,06 Technology,0,1,SBGI,Nasdaq,921076143,,,,Accelerated filer,1231,MD,MD,410-568-1711,,10706 BEAVER DAM ROAD,,HUNT VALLEY,MD,21030,MD,10706 BEAVER DAM ROAD,,HUNT VALLEY,MD,21030,MD
0001350653,"Alphatec Holdings, Inc.",operating,3841,Surgical & Medical Instruments & Apparatus,08 Industrial Applications and Services,0,1,ATEC,Nasdaq,202463898,,,,Large accelerated filer,1231,DE,DE,760-431-9286,,5818 EL CAMINO REAL,,CARLSBAD,CA,92008,CA,5818 EL CAMINO REAL,,CARLSBAD,CA,92008,CA
0001071255,"GOLDEN ENTERTAINMENT, INC.",operating,7990,Services-Miscellaneous Amusement & Recreation,07 Trade & Services,1,1,GDEN,Nasdaq,411913991,,,,Large accelerated filer,1231,MN,MN,7028914284,,6595 S JONES BLVD,,LAS VEGAS,NV,89118,NV,6595 S JONES BLVD,,LAS VEGAS,NV,89118,NV
0001171471,CALAMOS CONVERTIBLE OPPORTUNITIES & INCOME FUND,other,,,,0,1,CHI,Nasdaq,030426532,,,,,1031,,,6302451046,,2020 CALAMOS COURT,C/O CALAMOS ADVISORS LLC,NAPERVILLE,IL,60653,IL,2020 CALAMOS COURT,C/O CALAMOS ADVISORS LLC,NAPERVILLE,IL,60653,IL
0000350852,COMMUNITY TRUST BANCORP INC /KY/,operating,6022,State Commercial Banks,02 Finance,0,1,CTBI,Nasdaq,610979818,,,,Accelerated filer,1231,KY,KY,(606)433-4643,,346 NORTH MAYO TRAIL,P.O. BOX 2947,PIKEVILLE,KY,41502-2947,KY,346 NORTH MAYO TRAIL,P.O. BOX 2947,PIKEVILLE,KY,41502-2947,KY
0001180262,HERBALIFE LTD.,operating,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",07 Trade & Services,0,1,HLF,NYSE,000000000,,,,Large accelerated filer,1231,E9,Cayman Islands,310 410 9600,,P.O. BOX 309GT,"UGLAND HOUSE, SOUTH CHURCH STREET",GEORGE TOWN,E9,00000,Cayman Islands,P.O. BOX 309GT,"UGLAND HOUSE, SOUTH CHURCH STREET",GEORGE TOWN,E9,00000,Cayman Islands
0001785173,"89bio, Inc.",operating,2834,Pharmaceutical Preparations,03 Life Sciences,0,1,ETNB,Nasdaq,831114349,,,,Large accelerated filer,1231,DE,DE,(415) 432-9270,,142 SANSOME STREET,SECOND FLOOR,SAN FRANCISCO,CA,94104,CA,142 SANSOME STREET,SECOND FLOOR,SAN FRANCISCO,CA,94104,CA
0001928446,"Granite Ridge Resources, Inc.",operating,1311,Crude Petroleum & Natural Gas,01 Energy & Transportation,0,1,GRNT,NYSE,882227812,,,,Accelerated filer<br>Smaller reporting company<br>Emerging growth company,1231,,,214-396-2850,,5217 MCKINNEY AVENUE,SUITE 400,DALLAS,TX,75205,TX,5217 MCKINNEY AVENUE,SUITE 400,DALLAS,TX,75205,TX
0001544206,"Carlyle Secured Lending, Inc.",operating,,,,0,1,"CGBD,CGBDL","Nasdaq,Nasdaq",454727439,,,,Large accelerated filer,1231,MD,MD,(212) 813-4900,,"ONE VANDERBILT AVENUE, SUITE 3400",,NEW YORK,NY,10017,NY,"ONE VANDERBILT AVENUE, SUITE 3400",,NEW YORK,NY,10017,NY
0001431695,Olo Inc.,operating,7389,"Services-Business Services, NEC",07 Trade & Services,0,1,OLO,NYSE,202971562,,,,Large accelerated filer,1231,,,212-260-0895,,285 FULTON STREET,"ONE WORLD TRADE CENTER, 82ND FLOOR",NEW YORK,NY,10007,NY,285 FULTON STREET,"ONE WORLD TRADE CENTER, 82ND FLOOR",NEW YORK,NY,10007,NY
0001095565,HEALTHSTREAM INC,operating,7370,"Services-Computer Programming, Data Processing, Etc.",06 Technology,0,1,HSTM,Nasdaq,621443555,,,,Accelerated filer,1231,TN,TN,6153013100,,500 11TH AVENUE NORTH,SUITE 1000,NASHVILLE,TN,37203,TN,500 11TH AVENUE NORTH,SUITE 1000,NASHVILLE,TN,37203,TN
0001625791,Kornit Digital Ltd.,other,3555,Printing Trades Machinery & Equipment,06 Technology,0,0,KRNT,Nasdaq,000000000,,,,Large accelerated filer,1231,L3,Israel,97239085800,,12 HA'AMAL STREET,AFEK PARK,ROSH-HA'AYIN,L3,4809246,Israel,12 HA'AMAL STREET,AFEK PARK,ROSH-HA'AYIN,L3,4809246,Israel
0001639877,Ferroglobe PLC,other,1000,Metal Mining,01 Energy & Transportation,0,0,GSM,Nasdaq,000000000,,,,Accelerated filer,1231,X0,United Kingdom,4408009758080,,"LEGALINX LTD, ONE FETTER LANE",,LONDON,X0,EC4A 1BR,United Kingdom,"LEGALINX LTD, ONE FETTER LANE",,LONDON,X0,EC4A 1BR,United Kingdom
0001005817,TOMPKINS FINANCIAL CORP,operating,6022,State Commercial Banks,02 Finance,0,1,TMP,NYSE,161482357,,,,Large accelerated filer,1231,NY,NY,607-274-2078,,118 E. SENECA STREET,PO BOX 460,ITHACA,NY,14850,NY,118 E SENECA STREET,P.O. BOX 460,ITHACA,NY,14850,NY
0001834376,InnovAge Holding Corp.,operating,8000,Services-Health Services,08 Industrial Applications and Services,0,1,INNV,Nasdaq,810710819,,,,<br>Emerging growth company,0630,DE,DE,(303) 869-4664,,8950 E. LOWRY BOULEVARD,,DENVER,CO,80230,CO,8950 E. LOWRY BOULEVARD,,DENVER,CO,80230,CO
0001123134,CHIPMOS TECHNOLOGIES INC,other,3674,Semiconductors & Related Devices,04 Manufacturing,0,0,IMOS,Nasdaq,000000000,,,,Large accelerated filer,1231,F5,"Taiwan, Province of China",866-3-5770055,,"NO. 1, R & D ROAD 1","HSINCHU SCIENCE PARK, HSINCHU",TAIWAN,F5,00000,"Taiwan, Province of China","NO. 1, R & D ROAD 1","HSINCHU SCIENCE PARK, HSINCHU",TAIWAN,F5,00000,"Taiwan, Province of China"
0001517399,Grupo Supervielle S.A.,other,6029,"Commercial Banks, NEC",02 Finance,0,0,SUPV,NYSE,000000000,,,,Accelerated filer,,,,54-11-4340-3100,,RECONQUISTA 330,C1003ABG,Buenos Aires,C1,00000,Argentina,RECONQUISTA 330,C1003ABG,Buenos Aires,C1,00000,Argentina
0000729580,BEL FUSE INC /NJ,operating,3677,"Electronic Coils, Transformers & Other Inductors",04 Manufacturing,0,1,"BELFA,BELFB","Nasdaq,Nasdaq",221463699,,,,Accelerated filer,1231,NJ,NJ,2014320463,,300 EXECUTIVE DRIVE,SUITE 300,WEST ORANGE,NJ,07052,NJ,300 EXECUTIVE DRIVE,SUITE 300,WEST ORANGE,NJ,07052,NJ
0001278895,"BLACKROCK ENHANCED CAPITAL & INCOME FUND, INC.",other,,,,0,1,CII,NYSE,000000000,,,,,,,,800-441-7762,,100 BELLEVUE PARKWAY,,WILMINGTON,DE,19809,DE,100 BELLEVUE PARKWAY,,WILMINGTON,DE,19809,DE
0001172222,HAWAIIAN HOLDINGS INC,operating,4512,"Air Transportation, Scheduled",01 Energy & Transportation,0,1,,,710879698,,,,Accelerated filer,1231,DE,DE,8088353700,,3375 KOAPAKA STREET,SUITE G-350,HONOLULU,HI,96819,HI,3375 KOAPAKA STREET,SUITE G-350,HONOLULU,HI,96819,HI
0000033934,CORNERSTONE TOTAL RETURN FUND INC,other,,,,0,1,CRF,NYSE,132727013,,,,,1231,NY,NY,(513) 587-3400,,"225 PICTORIA DRIVE, SUITE 450",,CINCINNATI,OH,45246,OH,"225 PICTORIA DRIVE, SUITE 450",,CINCINNATI,OH,45246,OH
0001617553,"ZIPRECRUITER, INC.",operating,7370,"Services-Computer Programming, Data Processing, Etc.",06 Technology,0,1,ZIP,NYSE,272976158,,,,Large accelerated filer,1231,DE,DE,877-252-1062,,604 ARIZONA AVENUE,,SANTA MONICA,CA,90401,CA,604 ARIZONA AVENUE,,SANTA MONICA,CA,90401,CA
0001418076,SLR Investment Corp.,operating,,,,0,1,SLRC,Nasdaq,261381340,,,,Large accelerated filer,1231,MD,MD,(212) 993-1670,,500 PARK AVENUE,3RD FLOOR,NEW YORK,NY,10022,NY,500 PARK AVENUE,3RD FLOOR,NEW YORK,NY,10022,NY
0001517228,"CommScope Holding Company, Inc.",operating,3663,Radio & Tv Broadcasting & Communications Equipment,04 Manufacturing,1,1,COMM,Nasdaq,274332098,,,,Large accelerated filer,1231,DE,DE,828-459-5000,,3642 E. US HIGHWAY 70,,CLAREMONT,NC,28610,NC,3642 E. US HIGHWAY 70,,CLAREMONT,NC,28610,NC
0001577437,Ardmore Shipping Corp,other,4412,Deep Sea Foreign Transportation of  Freight,01 Energy & Transportation,0,0,ASC,NYSE,000000000,,,,Accelerated filer,1231,1T,Marshall Islands,441-405-7800,,69 PITTS BAY ROAD,,HAMILTON,D0,HM08,Bermuda,69 PITTS BAY ROAD,,HAMILTON,D0,HM08,Bermuda
0001690585,"Dianthus Therapeutics, Inc. /DE/",operating,2834,Pharmaceutical Preparations,03 Life Sciences,0,1,DNTH,Nasdaq,000000000,,,,Non-accelerated filer<br>Smaller reporting company,1231,DE,DE,857-201-2700,,300 TECHNOLOGY SQUARE,8TH FLOOR,CAMBRIDGE,MA,02139,MA,300 TECHNOLOGY SQUARE,8TH FLOOR,CAMBRIDGE,MA,02139,MA
0001458412,"CROSSFIRST BANKSHARES, INC.",operating,6022,State Commercial Banks,02 Finance,0,1,CFB,Nasdaq,000000000,,,,<br>Emerging growth company,1231,KS,KS,913-754-9704,,11440 TOMAHAWK CREEK PARKWAY,,LEAWOOD,KS,66211,KS,11440 TOMAHAWK CREEK PARKWAY,,LEAWOOD,KS,66211,KS
0001567924,"Mitsui E&S Holdings Co., Ltd./ADR",other,,,,0,0,"MIESY,MIESF","OTC,OTC",000000000,,,,,,,,212-238-3128,,120 BROADWAY,32ND FLOOR,NEW YORK,NY,10271,NY,120 BROADWAY,32ND FLOOR,NEW YORK,NY,10271,NY
0001837686,"Vimeo, Inc.",operating,7370,"Services-Computer Programming, Data Processing, Etc.",06 Technology,0,1,VMEO,Nasdaq,854334195,,,,Large accelerated filer,1231,,,212-524-8791,,330 WEST 34TH STREET,5TH FLOOR,NEW YORK,NY,10001,NY,330 WEST 34TH STREET,5TH FLOOR,NEW YORK,NY,10001,NY
0001023512,DRDGOLD LTD,other,1040,Gold and Silver Ores,01 Energy & Transportation,0,0,"DRD,DRDGF","NYSE,OTC",000000000,,,,Accelerated filer,0630,,,27113817800,,PO BOX 390,MARAISBURG,JOHANNESBURG,T3,1700,South Africa,45 EMPIRE ROAD,PARKTOWN,JOHANNESBURG,T3,2193,South Africa
0001517006,"Gatos Silver, Inc.",operating,1040,Gold and Silver Ores,01 Energy & Transportation,0,1,GATO,NYSE,272654848,,,,<br>Emerging growth company,1231,DE,DE,(604) 424 0984,,925 W GEORGIA STREET,SUITE 910,VANCOUVER,A1,V6C 3L2,"British Columbia, Canada",925 W GEORGIA STREET,SUITE 910,VANCOUVER,A1,V6C 3L2,"British Columbia, Canada"
0001872789,Embecta Corp.,operating,3841,Surgical & Medical Instruments & Apparatus,08 Industrial Applications and Services,0,1,EMBC,Nasdaq,871583942,,,,Large accelerated filer,0930,DE,DE,8624010000,,1209 ORANGE STREET,,WILMINGTON,DE,19801,DE,1209 ORANGE STREET,,WILMINGTON,DE,19801,DE
0001472012,Immunome Inc.,operating,2834,Pharmaceutical Preparations,03 Life Sciences,0,1,IMNM,Nasdaq,770694340,,,,<br>Emerging growth company,1231,DE,DE,610-321-3700,,18702 N. CREEK PARKWAY,SUITE 100,BOTHELL,WA,98011,WA,18702 N. CREEK PARKWAY,SUITE 100,BOTHELL,WA,98011,WA
0000880807,AMERICAN SUPERCONDUCTOR CORP /DE/,operating,3621,Motors & Generators,04 Manufacturing,0,1,AMSC,Nasdaq,042959321,,,,Accelerated filer<br>Smaller reporting company,0331,DE,DE,9788423000,,SIXTY FOUR JACKSON ROAD,,DEVENS,MA,01434,MA,SIXTY FOUR JACKSON ROAD,,DEVENS,MA,01434,MA
0001301787,BlueLinx Holdings Inc.,operating,5031,"Wholesale-Lumber, Plywood, Millwork & Wood Panels",07 Trade & Services,0,1,BXC,NYSE,770627356,,,,Large accelerated filer,1228,DE,DE,770-953-7000,,1950 SPECTRUM CIRCLE,SUITE 300,MARIETTA,GA,30067,GA,1950 SPECTRUM CIRCLE,SUITE 300,MARIETTA,GA,30067,GA
0000744187,REX AMERICAN RESOURCES Corp,operating,2860,Industrial Organic Chemicals,08 Industrial Applications and Services,0,1,REX,NYSE,311095548,,,,Accelerated filer,0131,DE,DE,9372763931,,7720 PARAGON ROAD,,DAYTON,OH,45459,OH,7720 PARAGON ROAD,,DAYTON,OH,45459,OH
0001504619,PennantPark Floating Rate Capital Ltd.,operating,,,,0,1,PFLT,NYSE,273794690,,,,Accelerated filer,0930,,,(212) 905-1000,,590 MADISON AVENUE,15TH FLOOR,NEW YORK,NY,10022,NY,590 MADISON AVENUE,15TH FLOOR,NEW YORK,NY,10022,NY
0001268884,CBRE GLOBAL REAL ESTATE INCOME FUND,other,,,,0,1,IGR,NYSE,000000000,,,,,1231,DE,DE,6109952500,,555 LANCASTER AVENUE,SUITE 120,RADNOR,PA,19087,PA,555 LANCASTER AVENUE,SUITE 120,RADNOR,PA,19087,PA
0001591588,"A-Mark Precious Metals, Inc.",operating,5094,"Wholesale-Jewelry, Watches, Precious Stones & Metals",07 Trade & Services,1,1,AMRK,Nasdaq,112464169,,,,Accelerated filer,0630,DE,DE,310-587-1414,,2121 ROSECRANS AVENUE,SUITE 6300,EL SEGUNDO,CA,90245,CA,2121 ROSECRANS AVENUE,SUITE 6300,EL SEGUNDO,CA,90245,CA
0000910612,CBL & ASSOCIATES PROPERTIES INC,operating,6798,Real Estate Investment Trusts,05 Real Estate & Construction,1,1,CBL,NYSE,621545718,,,,Accelerated filer,1231,DE,DE,4238550001,,"2030 HAMILTON PLACE BVLD, SUITE 500",CBL CENTER,CHATTANOOGA,TN,37421,TN,"2030 HAMILTON PLACE BVLD, SUITE 500",CBL CENTER,CHATTANOOGA,TN,37421,TN
0001616736,Alpha Investment Inc.,operating,6500,Real Estate,05 Real Estate & Construction,0,1,ALPC,OTC,900998139,,,,Non-accelerated filer<br>Smaller reporting company,1231,DE,DE,(305) 704-3294,,200 EAST CAMPUS VIEW BLVD,SUITE 200,COLUMBUS,OH,43235,OH,200 EAST CAMPUS VIEW BLVD,SUITE 200,COLUMBUS,OH,43235,OH
0000701288,ATRION CORP,operating,3841,Surgical & Medical Instruments & Apparatus,08 Industrial Applications and Services,0,1,,,630821819,,,,Non-accelerated filer,1231,DE,DE,9723909800,,ONE ALLENTOWN PARKWAY,,ALLEN,TX,75002,TX,ONE ALLENTOWN PARKWAY,,ALLEN,TX,75002,TX
0001868279,"ArriVent BioPharma, Inc.",operating,2834,Pharmaceutical Preparations,03 Life Sciences,0,1,AVBP,Nasdaq,000000000,,,,<br>Emerging growth company,1231,DE,DE,240-780-6356,,18 CAMPUS BLVD.,SUITE 100,NEWTOWN SQUARE,PA,19073-3269,PA,18 CAMPUS BLVD.,SUITE 100,NEWTOWN SQUARE,PA,19073-3269,PA
0000061398,TELLURIAN INC. /DE/,operating,1311,Crude Petroleum & Natural Gas,01 Energy & Transportation,0,1,"TELL,TELZ","NYSE,NYSE",060842255,,,,Large accelerated filer,1231,DE,DE,832-962-4000,,1201 LOUISIANA STREET,SUITE 3100,HOUSTON,TX,77002,TX,1201 LOUISIANA STREET,SUITE 3100,HOUSTON,TX,77002,TX
0001163739,NABORS INDUSTRIES LTD,operating,1381,Drilling Oil & Gas Wells,01 Energy & Transportation,1,1,"NBR,NBRWF","NYSE,OTC",980363970,,,,Large accelerated filer,1231,D0,Bermuda,4412921510,,P O BOX HM3349,,"HAMILTON, HMPX",D0,0000,Bermuda,CROWN HOUSE,4 PAR-LA-VILLE ROAD   SECOND FLOOR,"HAMILTON, HM08",D0,0000,Bermuda
0001698514,National Energy Services Reunited Corp.,operating,1389,"Oil & Gas Field Services, NEC",01 Energy & Transportation,0,1,"NESR,NESRW","OTC,OTC",000000000,,,,Accelerated filer,1231,D8,"Virgin Islands, British",(832) 925-3777,,777 POST OAK BLVD.,7TH FLOOR,HOUSTON,TX,77056,TX,777 POST OAK BLVD.,7TH FLOOR,HOUSTON,TX,77056,TX
0001819559,Western Asset Diversified Income Fund (WDI),other,,,,0,1,WDI,NYSE,000000000,,,,,1231,MD,MD,12128056026,,FRANKLIN TEMPLETON C/O MITCHELL O'BRIEN,"280 PARK AVENUE, 8TH FLOOR",NEW YORK,NY,10017,NY,FRANKLIN TEMPLETON C/O MITCHELL O'BRIEN,"280 PARK AVENUE, 8TH FLOOR",NEW YORK,NY,10017,NY
0001604665,Westlake Chemical Partners LP,operating,2860,Industrial Organic Chemicals,08 Industrial Applications and Services,0,1,WLKP,NYSE,320436529,,,,Accelerated filer,1231,DE,DE,(713) 960-9111,,2801 POST OAK BOULEVARD,SUITE 600,HOUSTON,TX,77056,TX,2801 POST OAK BOULEVARD,SUITE 600,HOUSTON,TX,77056,TX
0001708035,Ecovyst Inc.,operating,2800,Chemicals & Allied Products,08 Industrial Applications and Services,0,1,ECVT,NYSE,813406833,,,,Large accelerated filer,1231,DE,DE,484-617-1200,,300 LINDENWOOD DRIVE,,MALVERN,PA,19355,PA,300 LINDENWOOD DRIVE,,MALVERN,PA,19355,PA
0000876427,"MONRO, INC.",operating,7500,"Services-Automotive Repair, Services & Parking",07 Trade & Services,0,1,MNRO,Nasdaq,160838627,,,,Large accelerated filer,0329,NY,NY,585-647-6400,,200 HOLLEDER PKWY,,ROCHESTER,NY,14615-3808,NY,200 HOLLEDER PKWY,,ROCHESTER,NY,14615-3808,NY
0001851112,RISKIFIED LTD.,other,7389,"Services-Business Services, NEC",07 Trade & Services,0,0,RSKD,NYSE,981342110,,,,Accelerated filer<br>Emerging growth company,1231,L3,Israel,(203) 300-9264,,220 5TH AVENUE,2ND FLOOR,NEW YORK,NY,10001,NY,220 5TH AVENUE,2ND FLOOR,NEW YORK,NY,10001,NY
0000912728,FORWARD AIR CORP,operating,4731,Arrangement of  Transportation of  Freight & Cargo,01 Energy & Transportation,0,1,FWRD,Nasdaq,621120025,,,,Large accelerated filer,1231,TN,TN,4236367000,,P.O. BOX 1058,,GREENEVILLE,TN,37744,TN,1915 SNAPPS FERRY ROAD,BUILDING N,GREENEVILLE,TN,37745,TN
0001020859,UNITED NATURAL FOODS INC,operating,5141,"Wholesale-Groceries, General Line",07 Trade & Services,0,1,UNFI,NYSE,050376157,,,,Large accelerated filer,0731,DE,DE,401-528-8634,,313 IRON HORSE WAY,,PROVIDENCE,RI,02908,RI,313 IRON HORSE WAY,,PROVIDENCE,RI,02908,RI
0001559432,"TXO Partners, L.P.",operating,1311,Crude Petroleum & Natural Gas,01 Energy & Transportation,0,1,TXO,NYSE,320368858,,,,<br>Emerging growth company,1231,DE,DE,817-334-7800,,400 WEST 7TH STREET,,FORT WORTH,TX,76102,TX,400 WEST 7TH STREET,,FORT WORTH,TX,76102,TX
0001673985,AdvanSix Inc.,operating,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",08 Industrial Applications and Services,0,1,ASIX,NYSE,812525089,,,,Large accelerated filer,1231,DE,DE,(973) 526-1800,,300 KIMBALL DRIVE,SUITE 101,PARSIPPANY,NJ,07054,NJ,300 KIMBALL DRIVE,SUITE 101,PARSIPPANY,NJ,07054,NJ
0001806347,Westrock Coffee Co,operating,2080,Beverages,04 Manufacturing,0,1,"WEST,WESTW","Nasdaq,Nasdaq",264767812,,,,<br>Emerging growth company,1231,DE,DE,(501) 320-4880,,4009 N. RODNEY PARHAM RD.,3RD FLOOR,LITTLE ROCK,AR,72212,AR,4009 N. RODNEY PARHAM RD.,3RD FLOOR,LITTLE ROCK,AR,72212,AR
0001966233,NIP Group Inc.,other,7990,Services-Miscellaneous Amusement & Recreation,07 Trade & Services,0,0,NIPG,Nasdaq,000000000,,,,,1231,E9,Cayman Islands,46-705775564,,ROSENLUNDSGATAN 31,,STOCKHOLM,V7,118 63,Sweden,ROSENLUNDSGATAN 31,,STOCKHOLM,V7,118 63,Sweden
0001640428,"EverQuote, Inc.",operating,7370,"Services-Computer Programming, Data Processing, Etc.",06 Technology,0,1,EVER,Nasdaq,263101161,,,,Accelerated filer<br>Smaller reporting company,1231,DE,DE,617-245-0615,,141 PORTLAND STREET,,CAMBRIDGE,MA,02139,MA,141 PORTLAND STREET,,CAMBRIDGE,MA,02139,MA
0001737927,Canopy Growth Corp,operating,2833,Medicinal Chemicals & Botanical Products,03 Life Sciences,0,1,CGC,Nasdaq,000000000,,,,Accelerated filer,0331,Z4,Canada (Federal Level),855-558-9333,,1 HERSHEY DRIVE,,SMITH FALLS,A6,K7A0A8,"Ontario, Canada",1 HERSHEY DRIVE,,SMITH FALLS,A6,K7A0A8,"Ontario, Canada"
0001792781,Torrid Holdings Inc.,operating,5600,Retail-Apparel & Accessory Stores,07 Trade & Services,0,1,CURV,NYSE,000000000,,,,Non-accelerated filer<br>Smaller reporting company,0131,DE,DE,626-667-1002,,18501 E. SAN JOSE AVENUE,,CITY OF INDUSTRY,CA,91748,CA,18501 E. SAN JOSE AVENUE,,CITY OF INDUSTRY,CA,91748,CA
0000063296,MATTHEWS INTERNATIONAL CORP,operating,3360,Nonferrous Foundries (Castings),04 Manufacturing,1,1,MATW,Nasdaq,250644320,,,,Large accelerated filer,0930,PA,PA,4124428200,,TWO NORTHSHORE CENTER,,PITTSBURGH,PA,15212-5851,PA,TWO NORTHSHORE CENTER,,PITTSBURGH,PA,15212-5851,PA
0001609151,"Weave Communications, Inc.",operating,7372,Services-Prepackaged Software,06 Technology,0,1,WEAV,NYSE,263302902,,,,Accelerated filer<br>Emerging growth company,1231,DE,DE,888-579-5668,,1331 W POWELL WAY,,LEHI,UT,84043,UT,1331 W POWELL WAY,,LEHI,UT,84043,UT
0000731012,HEALTHCARE SERVICES GROUP INC,operating,8050,Services-Nursing & Personal Care Facilities,08 Industrial Applications and Services,0,1,HCSG,Nasdaq,232018365,,,,Large accelerated filer,1231,PA,PA,2159381661,,3220 TILLMAN DRIVE,SUITE 300,BENSALEM,PA,19020,PA,3220 TILLMAN DRIVE,SUITE 300,BENSALEM,PA,19020,PA
0001761918,"Erasca, Inc.",operating,2834,Pharmaceutical Preparations,03 Life Sciences,0,1,ERAS,Nasdaq,831217027,,,,Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company,1231,DE,DE,(858) 465-6511,,"10835 ROAD TO THE CURE, SUITE 140",,SAN DIEGO,CA,92121,CA,"10835 ROAD TO THE CURE, SUITE 140",,SAN DIEGO,CA,92121,CA
0001631596,KKR Real Estate Finance Trust Inc.,operating,6798,Real Estate Investment Trusts,05 Real Estate & Construction,0,1,"KREF,KREF-PA","NYSE,NYSE",472009094,,,,Large accelerated filer,1231,MD,MD,212-750-8300,,30 HUDSON YARDS,SUITE 7500,NEW YORK,NY,10001,NY,30 HUDSON YARDS,SUITE 7500,NEW YORK,NY,10001,NY
0001020710,DXP ENTERPRISES INC,operating,5084,Wholesale-Industrial Machinery & Equipment,07 Trade & Services,0,1,DXPE,Nasdaq,760509661,,,,Accelerated filer,1231,TX,TX,7139964700,,5301 HOLLISTER STREET,,HOUSTON,TX,77040,TX,5301 HOLLISTER STREET,,HOUSTON,TX,77040,TX
0001788399,DoubleLine Yield Opportunities Fund,other,,,,0,1,DLY,NYSE,000000000,,,,,,MA,MA,(813) 791-7333,,"2002 N. TAMPA ST., SUITE 200",,TAMPA,FL,33602,FL,"2002 N. TAMPA ST., SUITE 200",,TAMPA,FL,33602,FL
0001921158,Bitfufu Inc.,other,6199,Finance Services,09 Crypto Assets,0,0,"FUFU,FUFUW","Nasdaq,Nasdaq",000000000,,,,Non-accelerated filer<br>Emerging growth company,,,,656-252-4595,,111 NORTH BRIDGE ROAD,#15-01,PENINSULA PLAZA,U0,179098,Singapore,111 NORTH BRIDGE ROAD,#15-01,PENINSULA PLAZA,U0,179098,Singapore
0001227476,Nuveen Credit Strategies Income Fund,other,,,,0,1,JQC,NYSE,000000000,,,,,0731,MA,MA,312-917-8146,,333 WEST WACKER DRIVE,,CHICAGO,IL,60606,IL,333 WEST WACKER DRIVE,,CHICAGO,IL,60606,IL
0001000177,NORDIC AMERICAN TANKERS Ltd,other,4400,Water Transportation,01 Energy & Transportation,0,0,NAT,NYSE,000000000,,,,Large accelerated filer,1231,,,(441) 292-7202,,SWAN BUILDING,26 VICTORIA STREET,HAMILTON HM12,D0,00000,Bermuda,SWAN BUILDING,26 VICTORIA STREET,HAMILTON HM12,D0,00000,Bermuda
0001300391,Eaton Vance Enhanced Equity Income Fund,other,,,,0,1,EOI,NYSE,000000000,,,,,0930,,,617-482-8260,,ONE POST OFFICE SQUARE,,BOSTON,MA,02109,MA,ONE POST OFFICE SQUARE,,BOSTON,MA,02109,MA
0001370755,BlackRock TCP Capital Corp.,operating,,,,1,1,TCPC,Nasdaq,562594706,,,,Large accelerated filer,1231,DE,DE,310-566-1000,,2951 28TH STREET,SUITE 1000,SANTA MONICA,CA,90405,CA,2951 28TH STREET,SUITE 1000,SANTA MONICA,CA,90405,CA
0001623526,"Stoke Therapeutics, Inc.",operating,2834,Pharmaceutical Preparations,03 Life Sciences,0,1,STOK,Nasdaq,471144582,,,,<br>Emerging growth company,1231,DE,DE,781-430-8200,,45 WIGGINS AVENUE,,BEDFORD,MA,01730,MA,45 WIGGINS AVENUE,,BEDFORD,MA,01730,MA
0000896156,ETHAN ALLEN INTERIORS INC,operating,2511,"Wood Household Furniture, (No Upholstered)",04 Manufacturing,0,1,ETD,NYSE,061275288,,,,Accelerated filer,0630,DE,DE,2037438000,,,,,,,,ETHAN ALLEN DR,PO BOX 1966,DANBURY,CT,06811,CT
