name,cik,start_date,business_city,business_stateOrCountry,business_stateOrCountryDescription,business_street1,business_street2,business_zipCode,category,description,ein,entityType,exchanges,fiscalYearEnd,flags,insiderTransactionForIssuerExists,insiderTransactionForOwnerExists,mailing_city,mailing_stateOrCountry,mailing_stateOrCountryDescription,mailing_street1,mailing_street2,mailing_zipCode,ownerOrg,phone,sic,sicDescription,stateOfIncorporation,stateOfIncorporationDescription,tickers
TEXTRON INC,0000217346,1994-02-10,PROVIDENCE,RI,RI,40 WESTMINSTER ST,,02903,Large accelerated filer,,050315468,operating,['NYSE'],0103,,1,1,PROVIDENCE,RI,RI,40 WESTMINSTER ST,,02903,04 Manufacturing,4014212800,3720,Aircraft & Parts,DE,DE,['TXT']
UNILEVER PLC,0000217410,1999-02-09,LONDON ENGLAND,X0,United Kingdom,UNILEVER HOUSE,BLACKFRIARS,EC4P 4BQ,Large accelerated filer,,000000000,other,"['NYSE', 'OTC']",1231,,0,0,ENGLEWOOD CLIFFS,NJ,NJ,C/O UNILEVER UNITED STATES INC,700 SYLVAN AVENUE (ATTN.: M MONTAGNINO),07632,08 Industrial Applications and Services,201-894-2790,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",,,"['UL', 'UNLYF']"
PURE CYCLE CORP,0000276720,1995-07-14,WATKINS,CO,CO,34501 E. QUINCY AVE,BLDG. 34,80137,Non-accelerated filer<br>Smaller reporting company,,840705083,operating,['Nasdaq'],0831,,1,1,WATKINS,CO,CO,34501 E. QUINCY AVE,BLDG. 34,80137,01 Energy & Transportation,3032923456,4941,Water Supply,CO,CO,['PCYO']
"W.W. GRAINGER, INC.",0000277135,1994-03-24,LAKE FOREST,IL,IL,100 GRAINGER PARKWAY,,60045-5201,Large accelerated filer,,361150280,operating,['NYSE'],1231,,1,0,LAKE FOREST,IL,IL,100 GRAINGER PARKWAY,,60045,07 Trade & Services,847-535-1000,5000,Wholesale-Durable Goods,IL,IL,['GWW']
BARINGS CORPORATE INVESTORS,0000275694,1994-02-24,CHARLOTTE,NC,NC,C/O BARINGS LLC,"300 SOUTH TRYON STREET, SUITE 2500",28202,,,042483041,other,['NYSE'],1231,,1,0,CHARLOTTE,NC,NC,C/O BARINGS LLC,"300 SOUTH TRYON STREET, SUITE 2500",28202,,704-805-7200,,,MA,MA,['MCI']
SELECTIVE INSURANCE GROUP INC,0000230557,1996-04-02,BRANCHVILLE,NJ,NJ,40 WANTAGE AVENUE,,07890,Large accelerated filer,,222168890,operating,"['Nasdaq', 'Nasdaq']",1231,,1,0,BRANCHVILLE,NJ,NJ,40 WANTAGE AVE,40 WANTAGE AVE,07890,02 Finance,9739483000,6331,"Fire, Marine & Casualty Insurance",NJ,NJ,"['SIGI', 'SIGIP']"
NATURES SUNSHINE PRODUCTS INC,0000275053,1995-03-28,LEHI,UT,UT,2901 WEST BLUEGRASS BLVD.,SUITE 100,84043,Accelerated filer<br>Smaller reporting company,,870327982,operating,['Nasdaq'],1231,,1,0,LEHI,UT,UT,2901 WEST BLUEGRASS BLVD.,SUITE 100,84043,03 Life Sciences,(801) 341-7900,2834,Pharmaceutical Preparations,UT,UT,['NATR']
"ADAMS NATURAL RESOURCES FUND, INC.",0000216851,1996-07-19,BALTIMORE,MD,MD,500 EAST PRATT STREET,SUITE 1300,21202,,,135506797,other,['NYSE'],1231,,1,0,BALTIMORE,MD,MD,500 EAST PRATT STREET,SUITE 1300,21202,,4107525900,,,MD,MD,['PEO']
WOLVERINE WORLD WIDE INC /DE/,0000110471,1994-02-15,ROCKFORD,MI,MI,9341 COURTLAND DR,,49351,Large accelerated filer,,381185150,operating,['NYSE'],1230,,1,0,ROCKFORD,MI,MI,9341 COURTLAND DR,,49351,04 Manufacturing,6168665500,3140,"Footwear, (No Rubber)",MI,MI,['WWW']
RPM INTERNATIONAL INC/DE/,0000110621,1994-01-07,MEDINA,OH,OH,2628 PEARL RD,P O BOX 777,44258,Large accelerated filer,,020642224,operating,['NYSE'],0531,,1,0,MEDINA,OH,OH,2628 PEARL RD,P O BOX 777,44258,08 Industrial Applications and Services,3302735090,2851,"Paints, Varnishes, Lacquers, Enamels & Allied Prods",DE,DE,['RPM']
WESBANCO INC,0000203596,1994-01-11,WHEELING,WV,WV,1 BANK PLAZA,,26003,Large accelerated filer,,550571723,operating,"['Nasdaq', 'Nasdaq']",1231,,1,1,WHEELING,WV,WV,ONE BANK PLZ,,26003,02 Finance,3042349000,6021,National Commercial Banks,WV,WV,"['WSBC', 'WSBCP']"
CAPITAL PROPERTIES INC /RI/,0000202947,1994-11-15,PROVIDENCE,RI,RI,5 STEEPLE STREET,UNIT 303,02903,Non-accelerated filer<br>Smaller reporting company,,050386287,operating,['OTC'],1231,,1,0,PROVIDENCE,RI,RI,5 STEEPLE STREET,UNIT 303,02903,05 Real Estate & Construction,401-435-7171,6519,"Lessors of  Real Property, NEC",RI,RI,['CPTP']
JOHNSON & JOHNSON,0000200406,1995-10-06,NEW BRUNSWICK,NJ,NJ,ONE JOHNSON & JOHNSON PLZ,,08933,Large accelerated filer,,221024240,operating,['NYSE'],1228,,1,1,NEW BRUNSWICK,NJ,NJ,ONE JOHNSON & JOHNSON PLZ,,08933,03 Life Sciences,732-524-2455,2834,Pharmaceutical Preparations,NJ,NJ,['JNJ']
"Coeur Mining, Inc.",0000215466,1994-02-14,CHICAGO,IL,IL,200 SOUTH WACKER DRIVE,SUITE 2100,60606,Large accelerated filer,,820109423,operating,['NYSE'],1231,,1,1,CHICAGO,IL,IL,200 SOUTH WACKER DRIVE,SUITE 2100,60606,01 Energy & Transportation,312-489-5800,1040,Gold and Silver Ores,DE,DE,['CDE']
HAVERTY FURNITURE COMPANIES INC,0000216085,1994-02-14,ATLANTA,GA,GA,780 JOHNSON FERRY ROAD,SUITE 800,30342,Accelerated filer,,580281900,operating,"['NYSE', 'NYSE']",1231,,1,0,ATLANTA,GA,GA,780 JOHNSON FERRY ROAD,SUITE 800,30342,07 Trade & Services,404-443-2900,5712,Retail-Furniture Stores,MD,MD,"['HVT', 'HVT-A']"
ITT INC.,0000216228,1995-12-21,STAMFORD,CT,CT,100 WASHINGTON BLVD,6TH FLOOR,06902,Large accelerated filer,,811197930,operating,['NYSE'],1231,,1,1,STAMFORD,CT,CT,100 WASHINGTON BLVD,6TH FLOOR,06902,06 Technology,914.641.2000,3561,Pumps & Pumping Equipment,,,['ITT']
CONSUMERS ENERGY CO,0000201533,1994-02-15,JACKSON,MI,MI,ONE ENERGY PLAZA,,49201,,,380442310,operating,['NYSE'],1231,,1,1,JACKSON,MI,MI,ONE ENERGY PLAZA,,49201,01 Energy & Transportation,5177880550,4931,Electric & Other Services Combined,MI,MI,['CMS-PB']
"L3HARRIS TECHNOLOGIES, INC. /DE/",0000202058,1994-09-09,MELBOURNE,FL,FL,1025 W NASA BLVD,,32919,Large accelerated filer,,340276860,operating,['NYSE'],0102,,1,1,MELBOURNE,FL,FL,1025 W NASA BLVD,,32919,04 Manufacturing,3217279100,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",DE,DE,['LHX']
COMMUNITY BANCORP /VT,0000718413,1995-04-06,DERBY,VT,VT,4811 US ROUTE 5,,05829,Non-accelerated filer<br>Smaller reporting company,,030284070,operating,['OTC'],1231,,1,0,NEWPORT,VT,VT,4811 US ROUTE 5,,05855,02 Finance,802-334-7915,6021,National Commercial Banks,VT,VT,['CMTV']
"DOMINION ENERGY, INC",0000715957,1995-02-21,RICHMOND,VA,VA,600 EAST CANAL STREET,,23219,Large accelerated filer,,541229715,operating,['NYSE'],1231,,1,1,RICHMOND,VA,VA,P. O. BOX 26532,,23261,01 Energy & Transportation,8048192000,4911,Electric Services,VA,VA,['D']
Yellow Corp,0000716006,2003-12-15,OVERLAND PARK,KS,KS,10990 ROE AVENUE,,66211,Accelerated filer,,480948788,operating,['OTC'],1231,,1,0,OVERLAND PARK,KS,KS,10990 ROE AVENUE,,66211,01 Energy & Transportation,913-696-6156,4213,Trucking (No Local),DE,DE,['YELLQ']
BCE INC,0000718940,1998-11-02,VERDUN,A8,"Quebec, Canada",1 CARREFOUR ALEXANDER-GRAHAM-BELL,,H3E 3B3,,,000000000,other,"['NYSE', 'OTC', 'OTC', 'OTC', 'OTC', 'OTC', 'OTC', 'OTC']",1231,,0,1,VERDUN,A8,"Quebec, Canada",1 CARREFOUR ALEXANDER-GRAHAM-BELL,,H3E 3B3,06 Technology,514-786-3891,4813,Telephone Communications (No Radiotelephone),,,"['BCE', 'BECEF', 'BCAEF', 'BCEFF', 'BCEIF', 'BCEPF', 'BCEXF', 'BCPPF']"
S&T BANCORP INC,0000719220,1995-08-01,INDIANA,PA,PA,800 PHILADELPHIA STREET,PO BOX 190,15701,Large accelerated filer,,251434426,operating,['Nasdaq'],1231,,1,0,INDIANA,PA,PA,800 PHILADELPHIA STREET,PO BOX 190,15701,02 Finance,724-427-2347,6022,State Commercial Banks,PA,PA,['STBA']
GRAHAM CORP,0000716314,1994-02-14,BATAVIA,NY,NY,20 FLORENCE AVE,,14020,Accelerated filer<br>Smaller reporting company,,161194720,operating,['NYSE'],0331,,1,0,BATAVIA,NY,NY,20 FLORENCE AVENUE,,14020,06 Technology,5853432216,3560,General Industrial Machinery & Equipment,DE,DE,['GHM']
WESTPAC BANKING CORP,0000719245,2002-04-29,SYDNEY,C3,Australia,"LEVEL 3, 275 KENT STREET",,2000,Large accelerated filer,,986008211,other,['OTC'],0930,,0,0,SYDNEY,C3,Australia,"LEVEL 3, 275 KENT STREET",,2000,02 Finance,01161478163167,6029,"Commercial Banks, NEC",C3,Australia,['WEBNF']
HECLA MINING CO/DE/,0000719413,1994-03-18,COEUR D'ALENE,ID,ID,6500 N MINERAL DRIVE SUITE 200,NONE,83815-9408,Large accelerated filer,,770664171,operating,"['NYSE', 'NYSE']",1231,,1,0,COEUR D'ALENE,ID,ID,6500 N MINERAL DRIVE SUITE 200,NONE,83815-9408,01 Energy & Transportation,2087694100,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),DE,DE,"['HL', 'HL-PB']"
STAAR SURGICAL CO,0000718937,1995-08-10,MONROVIA,CA,CA,1911 WALKER AVE,,91016,Large accelerated filer,,953797439,operating,['Nasdaq'],1227,,1,0,MONROVIA,CA,CA,1911 WALKER AVE,,91016,08 Industrial Applications and Services,6263037902,3851,Ophthalmic Goods,DE,DE,['STAA']
READING INTERNATIONAL INC,0000716634,1994-03-24,CULVER CITY,CA,CA,5995 SEPULVEDA BOULEVARD,SUITE 300,90230,Non-accelerated filer<br>Smaller reporting company,,953885184,operating,"['Nasdaq', 'Nasdaq']",1231,,1,0,CULVER CITY,CA,CA,5995 SEPULVEDA BOULEVARD,SUITE 300,90230,07 Trade & Services,213 235 2240,7830,Services-Motion Picture Theaters,NV,NV,"['RDI', 'RDIB']"
PENNS WOODS BANCORP INC,0000716605,1995-08-11,JERSEY SHORE,PA,PA,115 S MAIN ST,,17740,Non-accelerated filer<br>Smaller reporting company,,232226454,operating,['Nasdaq'],1231,,1,0,JERSEY SHORE,PA,PA,115 S MAIN ST,,17740,02 Finance,570-322-1111,6022,State Commercial Banks,PA,PA,['PWOD']
FIRST NATIONAL CORP /VA/,0000719402,1996-08-14,STRASBURG,VA,VA,112 WEST KING STREET,,22657,Non-accelerated filer<br>Smaller reporting company,,541232965,operating,['Nasdaq'],1231,,1,0,STRASBURG,VA,VA,112 WEST KING STREET,,22657,02 Finance,5404659121,6022,State Commercial Banks,VA,VA,['FXNC']
REGIS CORP,0000716643,1994-02-08,MINNEAPOLIS,MN,MN,3701 WAYZATA BLVD,SUITE 500,55416,Non-accelerated filer<br>Smaller reporting company,,410749934,operating,['Nasdaq'],0630,,1,0,MINNEAPOLIS,MN,MN,3701 WAYZATA BLVD,SUITE 500,55416,07 Trade & Services,9529477777,7200,Services-Personal Services,MN,MN,['RGS']
"RAVE RESTAURANT GROUP, INC.",0000718332,1995-12-04,THE COLONY,TX,TX,3551 PLANO PARKWAY,,75056,Non-accelerated filer<br>Smaller reporting company,,453189287,operating,['Nasdaq'],0630,,1,0,THE COLONY,TX,TX,3551 PLANO PARKWAY,,75056,07 Trade & Services,469-384-5000,5140,Wholesale-Groceries & Related Products,MO,MO,['RAVE']
KEY TRONIC CORP,0000719733,1995-02-10,SPOKANE,WA,WA,4424 N. SULLIVAN ROAD,,99216,Non-accelerated filer<br>Smaller reporting company,,910849125,operating,['Nasdaq'],0628,,1,0,SPOKANE,WA,WA,P O BOX 14687,,99214,04 Manufacturing,5099288000,3672,Printed Circuit Boards,WA,WA,['KTCC']
MURPHY OIL CORP,0000717423,1994-02-14,HOUSTON,TX,TX,9805 KATY FWY,SUITE G-200,77024,Large accelerated filer,,710361522,operating,['NYSE'],1231,,1,1,HOUSTON,TX,TX,9805 KATY FWY,SUITE G-200,77024,01 Energy & Transportation,2816759000,1311,Crude Petroleum & Natural Gas,DE,DE,['MUR']
HEXCEL CORP /DE/,0000717605,1994-03-31,STAMFORD,CT,CT,TWO STAMFORD PLAZA,"281 TRESSER BLVD., 16TH FLOOR",06901,Large accelerated filer,,941109521,operating,['NYSE'],1231,,1,0,STAMFORD,CT,CT,TWO STAMFORD PLAZA,"281 TRESSER BLVD., 16TH FLOOR",06901,08 Industrial Applications and Services,203-969-0666,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",DE,DE,['HXL']
VALUE LINE INC,0000717720,1995-04-05,NEW YORK,NY,NY,"551 FIFTH AVE., 3RD FLOOR",,10176-0001,Non-accelerated filer,,133139843,operating,['Nasdaq'],0430,,1,0,NEW YORK,NY,NY,"551 FIFTH AVE., 3RD FLOOR",,10176-0001,02 Finance,212 907-1500,6282,Investment Advice,NY,NY,['VALU']
WILLIAMS SONOMA INC,0000719955,1995-02-08,SAN FRANCISCO,CA,CA,3250 VAN NESS AVENUE,,94109,Large accelerated filer,,942203880,operating,['NYSE'],0202,,1,0,SAN FRANCISCO,CA,CA,3250 VAN NESS AVENUE,,94109,07 Trade & Services,415-421-7900,5700,"Retail-Home Furniture, Furnishings & Equipment Stores",CA,CA,['WSM']
ARROW FINANCIAL CORP,0000717538,1995-08-10,GLENS FALLS,NY,NY,250 GLEN ST,,12801,Accelerated filer,,222448962,operating,['Nasdaq'],1231,,1,0,GLENS FALLS,NY,NY,250 GLEN STREET,,12801,02 Finance,5184154299,6021,National Commercial Banks,NY,NY,['AROW']
Apyx Medical Corp,0000719135,1995-12-28,CLEARWATER,FL,FL,5115 ULMERTON ROAD,,33760,Non-accelerated filer<br>Smaller reporting company,,112644611,operating,['Nasdaq'],1231,,1,0,CLEARWATER,FL,FL,5115 ULMERTON ROAD,,33760,08 Industrial Applications and Services,7273842323,3841,Surgical & Medical Instruments & Apparatus,DE,DE,['APYX']
RAYMOND JAMES FINANCIAL INC,0000720005,1995-02-13,ST PETERSBURG,FL,FL,880 CARILLON PKWY,,33716,Large accelerated filer,,591517485,operating,"['NYSE', 'NYSE']",0930,,1,1,ST. PETERSBURG,FL,FL,880 CARILLON PKWY,,33716,02 Finance,727-567-1000,6211,"Security Brokers, Dealers & Flotation Companies",FL,FL,"['RJF', 'RJF-PB']"
"FIRST US BANCSHARES, INC.",0000717806,1995-04-11,BIRMINGHAM,AL,AL,3291 U.S. HIGHWAY 280,,35243,Non-accelerated filer<br>Smaller reporting company,,630843362,operating,['Nasdaq'],1231,,1,0,BIRMINGHAM,AL,AL,3291 U.S. HIGHWAY 280,,35243,02 Finance,2055821084,6022,State Commercial Banks,DE,DE,['FUSB']
ERICSSON LM TELEPHONE CO,0000717826,2002-01-24,STOCKHOLM SWEDEN,V7,Sweden,TORSHAMNSGATAN 21 - 23,,164 83,Large accelerated filer,,000000000,other,"['Nasdaq', 'OTC']",1231,,0,0,SWEDEN,V7,Sweden,S 164 83 STOCKHOLM,,0000,04 Manufacturing,46107190000,3663,Radio & Tv Broadcasting & Communications Equipment,V7,Sweden,"['ERIC', 'ERIXF']"
"Inotiv, Inc.",0000720154,1997-11-25,WEST LAFAYETTE,IN,IN,2701 KENT AVE,,47906-1382,Accelerated filer,,351345024,operating,['Nasdaq'],0930,,1,0,WEST LAFAYETTE,IN,IN,2701 KENT AVENUE,,47906-1382,08 Industrial Applications and Services,3174634527,8731,Services-Commercial Physical & Biological Research,IN,IN,['NOTV']
UNIFIRST CORP,0000717954,1994-01-10,WILMINGTON,MA,MA,68 JONSPIN RD,,01887,Large accelerated filer,,042103460,operating,['NYSE'],0829,,1,0,WILMINGTON,MA,MA,68 JONSPIN ROAD,,01887,07 Trade & Services,(978) 658-8888,7200,Services-Personal Services,MA,MA,['UNF']
AMTECH SYSTEMS INC,0000720500,1995-05-15,TEMPE,AZ,AZ,58 S RIVER DRIVE SUITE 370,,85288,Accelerated filer<br>Smaller reporting company,,860411215,operating,['Nasdaq'],0930,,1,0,TEMPE,AZ,AZ,58 S RIVER DRIVE SUITE 370,,85288,06 Technology,4809675146,3559,"Special Industry Machinery, NEC",AZ,AZ,['ASYS']
"PNC FINANCIAL SERVICES GROUP, INC.",0000713676,1994-02-14,PITTSBURGH,PA,PA,THE TOWER AT PNC PLAZA,300 FIFTH AVENUE,15222-2401,Large accelerated filer,,251435979,operating,['NYSE'],1231,,1,1,PITTSBURGH,PA,PA,THE TOWER AT PNC PLAZA,300 FIFTH AVENUE,15222-2401,02 Finance,888-762-2265,6021,National Commercial Banks,PA,PA,['PNC']
"ConnectOne Bancorp, Inc.",0000712771,1995-11-14,ENGLEWOOD CLIFFS,NJ,NJ,301 SYLVAN AVENUE,,07632,Large accelerated filer,,521273725,operating,"['Nasdaq', 'Nasdaq']",1231,,1,0,ENGLEWOOD CLIFFS,NJ,NJ,301 SYLVAN AVENUE,,07632,02 Finance,2018168900,6022,State Commercial Banks,NJ,NJ,"['CNOB', 'CNOBP']"
"GERMAN AMERICAN BANCORP, INC.",0000714395,1995-11-13,JASPER,IN,IN,711 MAIN ST,P O BOX 810,47546,Large accelerated filer,,351547518,operating,['Nasdaq'],1231,,1,0,JASPER,IN,IN,711 MAIN STREET,,47546,02 Finance,8124821314,6022,State Commercial Banks,IN,IN,['GABC']
FIRST FINANCIAL CORP /IN/,0000714562,1995-05-10,TERRE HAUTE,IN,IN,ONE FIRST FINANCIAL PLAZA,,47807,Accelerated filer,,351546989,operating,['Nasdaq'],1231,,1,0,TERRE HAUTE,IN,IN,ONE FIRST FINANCIAL PLAZA,,47807,02 Finance,(812) 238-6000,6022,State Commercial Banks,IN,IN,['THFF']
Sanara MedTech Inc.,0000714256,1996-07-22,FORT WORTH,TX,TX,1200 SUMMIT AVE,SUITE 414,76102,Non-accelerated filer<br>Smaller reporting company,,592220004,operating,['Nasdaq'],1231,,1,0,FORT WORTH,TX,TX,1200 SUMMIT AVE,SUITE 414,76102,08 Industrial Applications and Services,817-529-2300,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",TX,TX,['SMTI']
JUNIATA VALLEY FINANCIAL CORP,0000714712,1995-03-16,MIFFLINTOWN,PA,PA,2 SOUTH MAIN ST,P O BOX 66,17059-0066,Non-accelerated filer<br>Smaller reporting company,,232235254,operating,['OTC'],1231,,1,0,MIFFLINTOWN,PA,PA,BRIDGE AND MAIN STREETS,P O BOX 66,17059-0066,02 Finance,7174368211,6022,State Commercial Banks,PA,PA,['JUVF']
SABINE ROYALTY TRUST,0000710752,1994-04-14,DALLAS,TX,TX,C/O ARGENT TRUST COMPANY,"3838 OAK LAWN AVE., SUITE 1720",75219-4518,,,756297143,operating,['NYSE'],1231,,0,0,DALLAS,TX,TX,C/O ARGENT TRUST COMPANY,"3838 OAK LAWN AVE., SUITE 1720",75219-4518,01 Energy & Transportation,972-919-1360,6792,Oil Royalty Traders,TX,TX,['SBR']
THUNDER MOUNTAIN GOLD INC,0000711034,1998-03-31,BOISE,ID,ID,11770 W. PRESIDENT DR. STE F,,83713,Non-accelerated filer<br>Smaller reporting company,,911031075,operating,['OTC'],1231,,1,0,BOISE,ID,ID,11770 W. PRESIDENT DR. STE F,,83713,01 Energy & Transportation,208-658-1037,1000,Metal Mining,NV,NV,['THMG']
RENASANT CORP,0000715072,1994-04-27,TUPELO,MS,MS,209 TROY STREET,,38804-4827,Large accelerated filer,,640676974,operating,['NYSE'],1231,,1,0,TUPELO,MS,MS,P.O. BOX 709,,38802-0709,02 Finance,(662) 680-1001,6022,State Commercial Banks,MS,MS,['RNST']
NEOGEN CORP,0000711377,1995-08-31,LANSING,MI,MI,620 LESHER PLACE,,48912,Large accelerated filer,,382367843,operating,['Nasdaq'],0531,,1,0,LANSING,MI,MI,620 LESHER PLACE,,48912,03 Life Sciences,5173729200,2835,In Vitro & In Vivo Diagnostic Substances,MI,MI,['NEOG']
VALLEY NATIONAL BANCORP,0000714310,1994-02-28,NEW YORK,NY,NY,ONE PENN PLAZA,,10119,Large accelerated filer,,222477875,operating,"['Nasdaq', 'Nasdaq', 'Nasdaq', 'Nasdaq']",1231,,1,0,NEW YORK,NY,NY,ONE PENN PLAZA,,10119,02 Finance,(973) 305-8800,6021,National Commercial Banks,NJ,NJ,"['VLY', 'VLYPP', 'VLYPO', 'VLYPN']"
"COOPER COMPANIES, INC.",0000711404,1994-08-01,SAN RAMON,CA,CA,6101 BOLLINGER CANYON ROAD,SUITE 500,94583,Large accelerated filer,,942657368,operating,['Nasdaq'],1031,,1,1,SAN RAMON,CA,CA,6101 BOLLINGER CANYON ROAD,SUITE 500,94583,08 Industrial Applications and Services,9254603600,3851,Ophthalmic Goods,DE,DE,['COO']
HONDA MOTOR CO LTD,0000715153,2002-01-23,"TOKYO, JAPAN",M0,Japan,"1-1, MINAMI-AOYAMA 2-CHOME, MINATO-KU",,107-8556,Large accelerated filer,,000000000,other,"['NYSE', 'OTC']",0331,,0,0,"TOKYO, JAPAN",M0,Japan,"1-1, MINAMI-AOYAMA 2-CHOME, MINATO-KU",,107-8556,04 Manufacturing,81334231111,3711,Motor Vehicles & Passenger Car Bodies,,,"['HMC', 'HNDAF']"
COLONY BANKCORP INC,0000711669,1995-11-08,FITZGERALD,GA,GA,115 SOUTH GRANT STREET,.,31750,Accelerated filer<br>Smaller reporting company,,581492391,operating,['NYSE'],1231,,1,0,FITZGERALD,GA,GA,115 SOUTH GRANT STREET,.,31750,02 Finance,229-426-6000,6022,State Commercial Banks,GA,GA,['CBAN']
Anixa Biosciences Inc,0000715446,1995-09-06,SAN JOSE,CA,CA,"3150 ALMADEN EXPRESSWAY, SUITE 250",,95118,Non-accelerated filer<br>Smaller reporting company,,112622630,operating,['Nasdaq'],1031,,1,1,SAN JOSE,CA,CA,"3150 ALMADEN EXPRESSWAY, SUITE 250",,95118,03 Life Sciences,408-708-9808,2834,Pharmaceutical Preparations,DE,DE,['ANIX']
ACNB CORP,0000715579,1994-04-15,GETTYSBURG,PA,PA,16 LINCOLN SQUARE,P O BOX 3129,17325,Accelerated filer,,232233457,operating,['Nasdaq'],1231,,1,0,GETTYSBURG,PA,PA,P O BOX 3129,16 LINCOLN SQUARE,17325,02 Finance,7173343161,6022,State Commercial Banks,PA,PA,['ACNB']
ACCO BRANDS Corp,0000712034,2005-05-13,LAKE ZURICH,IL,IL,FOUR CORPORATE DRIVE,,60047,Accelerated filer,,362704017,operating,['NYSE'],1231,,1,1,LAKE ZURICH,IL,IL,FOUR CORPORATE DRIVE,,60047,04 Manufacturing,847-541-9500,2780,"Blankbooks, Looseleaf Binders & Bookbindg & Relatd Work",DE,DE,['ACCO']
ELECTRONIC ARTS INC.,0000712515,1994-09-08,REDWOOD CITY,CA,CA,209 REDWOOD SHORES PARKWAY,,94065,Large accelerated filer,,942838567,operating,['Nasdaq'],0331,,1,0,REDWOOD CITY,CA,CA,209 REDWOOD SHORES PARKWAY,,94065,06 Technology,650-628-1500,7372,Services-Prepackaged Software,DE,DE,['EA']
FIRST MERCHANTS CORP,0000712534,1994-02-09,MUNCIE,IN,IN,200 E JACKSON ST,PO BOX 792,47308-0792,Large accelerated filer,,351544218,operating,"['Nasdaq', 'Nasdaq']",1231,,1,0,MUNCIE,IN,IN,200 EAST JACKSON STREET,,47305,02 Finance,7657471500,6021,National Commercial Banks,IN,IN,"['FRME', 'FRMEP']"
INTERFACE INC,0000715787,1994-01-14,ATLANTA,GA,GA,1280 WEST PEACHTREE ST. NW,,30309,Large accelerated filer,,581451243,operating,['Nasdaq'],1228,,1,0,ATLANTA,GA,GA,1280 WEST PEACHTREE ST. NW,,30309,04 Manufacturing,7704376800,2273,Carpets & Rugs,GA,GA,['TILE']
FIRST COMMONWEALTH FINANCIAL CORP /PA/,0000712537,1994-03-07,INDIANA,PA,PA,601 PHILADELPHIA STREET,,15701,Large accelerated filer,,251428528,operating,['NYSE'],1231,,1,0,INDIANA,PA,PA,601 PHILADELPHIA STREET,,15701,02 Finance,7243497220,6021,National Commercial Banks,PA,PA,['FCF']
"LOGILITY SUPPLY CHAIN SOLUTIONS, INC",0000713425,1995-09-12,ATLANTA,GA,GA,470 E PACES FERRY RD NE,,30305,Accelerated filer,,581098795,operating,['Nasdaq'],0430,,1,1,ATLANTA,GA,GA,470 EAST PACES FERRY ROAD NE,,30305,06 Technology,4042614381,7372,Services-Prepackaged Software,GA,GA,['LGTY']
ONE LIBERTY PROPERTIES INC,0000712770,1995-04-24,GREAT NECK,NY,NY,60 CUTTER MILL RD,SUITE 303,11021-3190,Non-accelerated filer<br>Smaller reporting company,,133147497,operating,['NYSE'],1231,,1,0,GREAT NECK,NY,NY,60 CUTTER MILL ROAD,SUITE 303,11021-3190,05 Real Estate & Construction,5164663100,6798,Real Estate Investment Trusts,MD,MD,['OLP']
HURCO COMPANIES INC,0000315374,1995-01-20,INDIANAPOLIS,IN,IN,ONE TECHNOLOGY WAY,,46268,Accelerated filer<br>Smaller reporting company,,351150732,operating,['Nasdaq'],1031,,1,0,INDIANAPOLIS,IN,IN,ONE TECHNOLOGY WAY,,46268,08 Industrial Applications and Services,3172935309,3823,"Industrial Instruments For Measurement, Display, and Control",IN,IN,['HURC']
UNION BANKSHARES INC,0000706863,1999-07-12,MORRISVILLE,VT,VT,P O BOX 667,20 MAIN STREET,05661-0667,Non-accelerated filer<br>Smaller reporting company,,030283552,operating,['Nasdaq'],1231,,1,0,MORRISVILLE,VT,VT,P O BOX 667,20 MAIN STREET,05661-0667,02 Finance,8028886600,6022,State Commercial Banks,VT,VT,['UNB']
OLD NATIONAL BANCORP /IN/,0000707179,1995-08-14,EVANSVILLE,IN,IN,ONE MAIN ST,,47708,Large accelerated filer,,351539838,operating,"['Nasdaq', 'Nasdaq', 'Nasdaq']",1231,,1,1,EVANSVILLE,IN,IN,ONE MAIN ST,,47708,02 Finance,8124641434,6021,National Commercial Banks,IN,IN,"['ONB', 'ONBPO', 'ONBPP']"
"PROVECTUS BIOPHARMACEUTICALS, INC.",0000315545,2000-08-15,KNOXVILLE,TN,TN,800 S. GAY STREET,SUITE 1610,37929,Non-accelerated filer<br>Smaller reporting company,,900031917,operating,['OTC'],1231,,1,0,KNOXVILLE,TN,TN,800 S. GAY STREET,SUITE 1610,37929,03 Life Sciences,(866) 594-5999,2834,Pharmaceutical Preparations,DE,DE,['PVCT']
LAM RESEARCH CORP,0000707549,1994-05-06,FREMONT,CA,CA,4650 CUSHING BLVD,,94538,Large accelerated filer,,942634797,operating,['Nasdaq'],0629,,1,0,FREMONT,CA,CA,4650 CUSHING PARKWAY,,94538,06 Technology,5106590200,3559,"Special Industry Machinery, NEC",DE,DE,['LRCX']
