"form","count","description","example_filing_url","example_primary_doc_url"
"10-12G/A","5164","Amendment to a Certification of Termination of Registration Under Section 13 or 15(d).  Used when a company terminates its registration under specific sections of the Exchange Act.","https://www.sec.gov/Archives/edgar/data/1821534/000114036124038633/0001140361-24-038633-index.html","https://www.sec.gov/Archives/edgar/data/1821534/000114036124038633/ny20031698x3_1012ga.htm"
"DRS","5095","Disclosure Reporting Page. Contains specific disclosures required by SEC rules, often related to executive compensation or beneficial ownership.","https://www.sec.gov/Archives/edgar/data/1922335/000149315224029315/0001493152-24-029315-index.html","https://www.sec.gov/Archives/edgar/data/1922335/000149315224029315/filename1.htm"
"8-A12B/A","5058","Amendment to a Registration of a Class of Securities Under Section 12(b). This amendment is specific to Form 8-A12B filings.","https://www.sec.gov/Archives/edgar/data/1426439/000183988224027775/0001839882-24-027775-index.html","https://www.sec.gov/Archives/edgar/data/1426439/000183988224027775/nyliactive-8a12ba_082924.htm"
"35-CERT","5006","Certification.   Confirms compliance with relevant rules or regulations.","https://www.sec.gov/Archives/edgar/data/3673/000000367306000035/0000003673-06-000035-index.html","https://www.sec.gov/Archives/edgar/data/3673/000000367306000035/apcoal_35cert.htm"
"1-A/A","4975","Amendment to a registration statement filed on Form 1-A.  Relates to Regulation A offerings.","https://www.sec.gov/Archives/edgar/data/1968039/000196803924000046/0001968039-24-000046-index.html","https://www.sec.gov/Archives/edgar/data/1968039/000196803924000046/xsl1-A_X01/primary_doc.xml"
"T-3/A","4895","Amendment to Registration Statement for American Depositary Receipts. Used to update information previously filed on Form T-3.","https://www.sec.gov/Archives/edgar/data/1312442/000110465924095291/0001104659-24-095291-index.html","https://www.sec.gov/Archives/edgar/data/31364/000110465924095291/tm2421979d6_t3a.htm"
"TA-1/A","4890","Amendment to Takedown. Used to make changes to a previously filed Form TA-1, which relates to the takedown of securities from a shelf registration.","https://www.sec.gov/Archives/edgar/data/350751/000114036124037658/0001140361-24-037658-index.html","https://www.sec.gov/Archives/edgar/data/350751/000114036124037658/xslFTA1X01/primary_doc.xml"
"PREC14A","4827","Preliminary Proxy (Schedule 14A) (Communication).   Provides information relevant to a specific proposal or matter being voted on.","https://www.sec.gov/Archives/edgar/data/1847283/000121390024074634/0001213900-24-074634-index.html","https://www.sec.gov/Archives/edgar/data/1847283/000121390024074634/ea0212912-01_prec14a.htm"
"DRSLTR","4782","Letter to the Director of Corporation Finance. Filed in response to comments or requests from the SEC's Division of Corporation Finance.","https://www.sec.gov/Archives/edgar/data/1756655/000095012324006271/0000950123-24-006271-index.html","https://www.sec.gov/Archives/edgar/data/1756655/000095012324006271/filename1.htm"
"DEFS14A","4718","Definitive Additional Proxy Statement. This indicates a supplemental definitive proxy statement, often used for updates or corrections.","https://www.sec.gov/Archives/edgar/data/11390/000092701602001907/0000927016-02-001907-index.html","https://www.sec.gov/Archives/edgar/data/11390/000092701602001907/ddefs14a.txt"
"AW","4579","Additional Withdrawal Request.  Filed by a company after an initial withdrawal request has been submitted.","https://www.sec.gov/Archives/edgar/data/1938046/000149315224034644/0001493152-24-034644-index.html","https://www.sec.gov/Archives/edgar/data/1938046/000149315224034644/formaw.htm"
"N-8A","4566","Notification of Registration Filed Pursuant to Section 8(a) of the Investment Company Act.   ","https://www.sec.gov/Archives/edgar/data/2035827/000110465924095348/0001104659-24-095348-index.html","https://www.sec.gov/Archives/edgar/data/2035827/000110465924095348/tm2422492d1_n8a.htm"
"25","4562","Notification of Removal from Listing and/or Registration.  Filed by an issuer to notify the SEC of the removal of its securities from a national securities exchange.","https://www.sec.gov/Archives/edgar/data/1862935/000149315224034503/0001493152-24-034503-index.html","https://www.sec.gov/Archives/edgar/data/1862935/000149315224034503/form25.htm"
"SC 14D9","4552","Tender Offer/Rights Acquisition Solicitation Statement.  This form is used to disclose information about the offer and the bidder.","https://www.sec.gov/Archives/edgar/data/1560241/000119312524203615/0001193125-24-203615-index.html","https://www.sec.gov/Archives/edgar/data/1560241/000119312524203615/d856692dsc14d9.htm"
"F-3/A","4536","Amendment to Registration Statement Filed on Form F-3.   This is a simplified form that companies can use if they meet certain requirements.","https://www.sec.gov/Archives/edgar/data/1962738/000110465924094541/0001104659-24-094541-index.html","https://www.sec.gov/Archives/edgar/data/1962738/000110465924094541/tm2422908d1_f3.htm"
"PRES14A","4517","Preliminary Proxy Statement - Staff Review. This likely indicates a preliminary proxy statement that is under review by the SEC staff.","https://www.sec.gov/Archives/edgar/data/892538/000093041302001169/0000930413-02-001169-index.html","https://www.sec.gov/Archives/edgar/data/892538/000093041302001169/c23898_pres14a.txt"
"PRRN14A","4468","Preliminary Proxy Statement (Non-Management).  This is filed with the SEC before sending a definitive proxy statement to shareholders.","https://www.sec.gov/Archives/edgar/data/1855066/000090266424004803/0000902664-24-004803-index.html","https://www.sec.gov/Archives/edgar/data/1510281/000090266424004803/p24-2414prrn14a.htm"
"C-U","4371","Certification and Updating Statement. Filed by Canadian companies that have securities listed on U.S. exchanges.","https://www.sec.gov/Archives/edgar/data/1965106/000166516024001246/0001665160-24-001246-index.html","https://www.sec.gov/Archives/edgar/data/1965106/000166516024001246/xslC_X01/primary_doc.xml"
"NPORT-P/A","4346","Amendment to a Monthly Portfolio Report. Used by investment companies to correct or update information from a previous NPORT-P filing.","https://www.sec.gov/Archives/edgar/data/701039/000175272424199327/0001752724-24-199327-index.html","https://www.sec.gov/Archives/edgar/data/701039/000175272424199327/xslFormNPORT-P_X01/primary_doc.xml"
"N-2","4340","Registration Statement. This form is used by closed-end funds to register securities they intend to offer and sell.","https://www.sec.gov/Archives/edgar/data/1633336/000119312524211128/0001193125-24-211128-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1633336/000119312524211128/d886240dn2.htm"
"253G2","4296","Election/Certification by Schedule 13G Filer. Filed by certain institutional investors who own more than 5% of a company's voting stock.","https://www.sec.gov/Archives/edgar/data/1671941/000110465924095711/0001104659-24-095711-index.html","https://www.sec.gov/Archives/edgar/data/1671941/000110465924095711/tm2421240d4_253g2.htm"
"F-3","4184","Registration Statement for Specified Transactions by Certain Issuers.  Used for registering securities offered in specific types of transactions.","https://www.sec.gov/Archives/edgar/data/1577437/000119312524211100/0001193125-24-211100-index.html","https://www.sec.gov/Archives/edgar/data/1577437/000119312524211100/d889007df3.htm"
"10SB12G","4105","General Form for Registration of Securities Pursuant to Section 12(b) or (g).  ","https://www.sec.gov/Archives/edgar/data/1420031/000139843208000047/0001398432-08-000047-index.html","https://www.sec.gov/Archives/edgar/data/1420031/000139843208000047/afh4_10sb.htm"
"IRANNOTICE","4022","Notice of Securities Activities Relating to Iran.  Related to sanctions and disclosure requirements.","https://www.sec.gov/Archives/edgar/data/1613103/000161310324000148/0001613103-24-000148-index.html","https://www.sec.gov/Archives/edgar/data/1613103/000161310324000148/irannoticeq1fy25.htm"
"MA-A","3997","Filed for any material amendment to a merger agreement. Companies involved in a merger transaction will file this form.","https://www.sec.gov/Archives/edgar/data/1838493/000183849324000007/0001838493-24-000007-index.html","https://www.sec.gov/Archives/edgar/data/1838493/000183849324000007/xslFormMA_X01/primary_doc.xml"
"20-F/A","3978","Amendment to Registration or Annual Report for Foreign Private Issuers. Filed to correct or update information from a previous 20-F filing.","https://www.sec.gov/Archives/edgar/data/1865697/000121390024073287/0001213900-24-073287-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1865697/000121390024073287/ea0212445-20fa1_neuromind.htm"
"305B2","3954","Report of Beneficial Ownership.   Filed by certain individuals who acquire beneficial ownership of securities.","https://www.sec.gov/Archives/edgar/data/1899123/000114036124037581/0001140361-24-037581-index.html","https://www.sec.gov/Archives/edgar/data/1899123/000114036124037581/ny20033944x2_305b2.htm"
"NSAR-A/A","3948","Amendment to Filing of Report of Proxy Voting Records by Management Investment Companies.  ","https://www.sec.gov/Archives/edgar/data/1558303/000104106218000169/0001041062-18-000169-index.html","https://www.sec.gov/Archives/edgar/data/1558303/000104106218000169/answer.fil"
"N-14","3946","Registration Statement.  Used in connection with the issuance of securities in exchange offer transactions.","https://www.sec.gov/Archives/edgar/data/923184/000119312524210871/0001193125-24-210871-index.html","https://www.sec.gov/Archives/edgar/data/923184/000119312524210871/d580344dn14.htm"
"C-AR","3860","Certification of a Foreign Private Issuer.  Filed by foreign companies that have securities listed on U.S. exchanges.","https://www.sec.gov/Archives/edgar/data/1851491/000166516024001249/0001665160-24-001249-index.html","https://www.sec.gov/Archives/edgar/data/1851491/000166516024001249/xslC_X01/primary_doc.xml"
"F-X","3823","Appointment of Agent for Service of Process.  Filed by foreign issuers to designate an agent in the US for legal matters.","https://www.sec.gov/Archives/edgar/data/1962622/000175392624001509/0001753926-24-001509-index.html","https://www.sec.gov/Archives/edgar/data/1962622/000175392624001509/g084411_fx.htm"
"F-4","3691","Registration Statement.   Filed by foreign companies that are merging with or acquiring a US company.","https://www.sec.gov/Archives/edgar/data/2021938/000119312524206325/0001193125-24-206325-index.html","https://www.sec.gov/Archives/edgar/data/2021938/000119312524206325/d805815df4.htm"
"N-CSR/A","3688","Amendment to a Certified Shareholder Report.  Filed to correct or update information.","https://www.sec.gov/Archives/edgar/data/737520/000174177324003787/0001741773-24-003787-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/737520/000174177324003787/ncsra.htm"
"S-11/A","3671","Amendment to Registration Statement for Real Estate Companies. Used to make changes to a previously filed Form S-11.","https://www.sec.gov/Archives/edgar/data/1868159/000119312524181920/0001193125-24-181920-index.html","https://www.sec.gov/Archives/edgar/data/1868159/000119312524181920/d577649ds11a.htm"
"SE","3565","Form SE - Short Form for Registration of Securities Offered Pursuant to Regulation A, Rule 903(b)(1)(i).  ","https://www.sec.gov/Archives/edgar/data/77694/999999999723003042/9999999997-23-003042-index.html","https://www.sec.gov/Archives/edgar/data/77694/999999999723003042/peruse.pdf"
"497VPI","3523","Prospectus for a Variable Insurance Product - Separate Account. This prospectus is specific to variable insurance products offered through separate accounts.","https://www.sec.gov/Archives/edgar/data/1074486/000110465924095491/0001104659-24-095491-index.html","https://www.sec.gov/Archives/edgar/data/1074486/000110465924095491/tm2422751d1_497vpi.htm"
"DEFC14A","3518","Definitive Additional Proxy Statement. A supplemental proxy statement, often used to provide additional information or corrections.","https://www.sec.gov/Archives/edgar/data/1258943/000182126824000213/0001821268-24-000213-index.html","https://www.sec.gov/Archives/edgar/data/1258943/000182126824000213/pio87867mav.htm"
"N-8F","3458","Registration Statement. This form is used to register securities issued by a management investment company that will operate as a business development company.","https://www.sec.gov/Archives/edgar/data/1710523/000119312524199820/0001193125-24-199820-index.html","https://www.sec.gov/Archives/edgar/data/1710523/000119312524199820/d747030dn8f.htm"
"10KSB40","3441","Annual Report for Smaller Reporting Companies.   Used by smaller reporting companies that also file as investment companies.","https://www.sec.gov/Archives/edgar/data/1096781/000095013402003330/0000950134-02-003330-index.html","https://www.sec.gov/Archives/edgar/data/1096781/000095013402003330/d95290e10ksb40.txt"
"N-23C3A","3390","Initial notification filed by a national securities association. This notification typically relates to rule changes or other regulatory matters.","https://www.sec.gov/Archives/edgar/data/1716885/000089418924005244/0000894189-24-005244-index.html","https://www.sec.gov/Archives/edgar/data/1716885/000089418924005244/ascix-n23c3a.htm"
"10-K405/A","3349","Amendment to an annual report filed on Form 10-K405.  Companies subject to Regulation A file this.","https://www.sec.gov/Archives/edgar/data/351834/000100547702001546/0001005477-02-001546-index.html","https://www.sec.gov/Archives/edgar/data/351834/000100547702001546/d02-37066.txt"
"40-F","3288","Transition report.  Filed by Canadian companies transitioning to US GAAP.","https://www.sec.gov/Archives/edgar/data/1711570/000095017024086056/0000950170-24-086056-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1711570/000095017024086056/uroy-20240430.htm"
"F-6","3260","Registration Statement for American Depositary Shares.  Filed by foreign companies that want to list their shares on US stock exchanges.","https://www.sec.gov/Archives/edgar/data/1471515/000095012724000046/0000950127-24-000046-index.html","https://www.sec.gov/Archives/edgar/data/1471515/000095012724000046/f-6.htm"
"24F-2NT/A","3220","Amendment to Annual Notice of Securities Sold Pursuant to Rule 24f-2.   Filed by investment companies.","https://www.sec.gov/Archives/edgar/data/825316/000175272424194422/0001752724-24-194422-index.html","https://www.sec.gov/Archives/edgar/data/825316/000175272424194422/xsl24F-2NT/primary_doc.xml"
"T-3","3157","Registration Statement for American Depositary Receipts. This form is used by depositary banks to register ADRs backed by securities of foreign issuers.","https://www.sec.gov/Archives/edgar/data/1312442/000110465924090909/0001104659-24-090909-index.html","https://www.sec.gov/Archives/edgar/data/31364/000110465924090909/tm2421979d1_t3.htm"
"10-D/A","3121","Amendment to a general form used for various reporting purposes.  Often for asset-backed securities.","https://www.sec.gov/Archives/edgar/data/1587981/000188852424013016/0001888524-24-013016-index.html","https://www.sec.gov/Archives/edgar/data/1587981/000188852424013016/ccc13c12_10da-202405.htm"
"N-MFP1","3040","Monthly Schedule of Portfolio Holdings of Money Market Funds.  Filed by money market funds.","https://www.sec.gov/Archives/edgar/data/3794/000114554916018335/0001145549-16-018335-index.html","https://www.sec.gov/Archives/edgar/data/3794/000114554916018335/xslN-MFP1_X01/primary_doc.xml"
"424B8","3040","Prospectus. Filed as part of a registration statement or to provide additional information about a securities offering.","https://www.sec.gov/Archives/edgar/data/831001/000095010324012944/0000950103-24-012944-index.html","https://www.sec.gov/Archives/edgar/data/200245/000095010324012944/dp217294_424b8-us2404761d.htm"
"SC 13E3","3005","Schedule 13E-3 - Transaction Statement.  Relates to going-private transactions, where a company is taken private.","https://www.sec.gov/Archives/edgar/data/1747079/000121390024073431/0001213900-24-073431-index.html","https://www.sec.gov/Archives/edgar/data/1747079/000121390024073431/ea0212365-sc13e3_ballys.htm"
"N-1A/A","3002","Amendment to a registration statement for open-end management investment companies. This amendment pertains to Form N-1A filings.","https://www.sec.gov/Archives/edgar/data/2014487/000121390024073434/0001213900-24-073434-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/2014487/000121390024073434/ea0211612-01_n1aa.htm"
"10-12G","2897","General Form for Certifications. Used by companies to certify compliance with certain reporting requirements or exemptions.","https://www.sec.gov/Archives/edgar/data/2032020/000119312524210947/0001193125-24-210947-index.html","https://www.sec.gov/Archives/edgar/data/2032020/000119312524210947/d860358d1012g.htm"
"18-K/A","2872","Amendment to an application for registration as a clearing agency.  Filed with the SEC.","https://www.sec.gov/Archives/edgar/data/1733112/000119312524208885/0001193125-24-208885-index.html","https://www.sec.gov/Archives/edgar/data/1733112/000119312524208885/d852586d18ka.htm"
"40-6C/A","2766","Amendment to a certification filed by registered investment companies. Relates to various compliance matters.","https://www.sec.gov/Archives/edgar/data/1141051/999999999707051230/9999999997-07-051230-index.html","https://www.sec.gov/Archives/edgar/data/1062592/999999999707051230/9999999997-07-051230.paper"
"CERTNAS","2745","Certification.  Asserts the truthfulness of provided information.","https://www.sec.gov/Archives/edgar/data/1670310/999999999718005843/9999999997-18-005843-index.html","https://www.sec.gov/Archives/edgar/data/1670310/999999999718005843/9999999997-18-005843.paper"
"1/A","2719","Amendment to a Form 1.   This form is used to register securities offerings.","https://www.sec.gov/Archives/edgar/data/876661/999999999724003650/9999999997-24-003650-index.html","https://www.sec.gov/Archives/edgar/data/876661/999999999724003650/9999999997-24-003650.paper"
"SC14D9C","2697","Confidentiality Request.  Filed by a person or entity making a tender offer to request confidential treatment for certain information.","https://www.sec.gov/Archives/edgar/data/59440/000119312524205835/0001193125-24-205835-index.html","https://www.sec.gov/Archives/edgar/data/59440/000119312524205835/d870097dsc14d9c.htm"
"497K3B","2666","Prospectus Supplement (Rule 497(k)). Filed as a supplement to a prospectus for a variable insurance product.","https://www.sec.gov/Archives/edgar/data/926678/000089418909000385/0000894189-09-000385-index.html","https://www.sec.gov/Archives/edgar/data/926678/000089418909000385/brandes_497k3b.htm"
"CB","2593","Currency Backup.  Relates to foreign exchange or currency matters.","https://www.sec.gov/Archives/edgar/data/1962622/000175392624001506/0001753926-24-001506-index.html","https://www.sec.gov/Archives/edgar/data/1962622/000175392624001506/g084410_cb.htm"
"NT-NSAR","2591","Notice of Late Filing of Form N-SAR. Filed by registered investment companies that are unable to file their Form N-SAR (semi-annual report) on time.","https://www.sec.gov/Archives/edgar/data/1603261/000139834418008166/0001398344-18-008166-index.html","https://www.sec.gov/Archives/edgar/data/1603261/000139834418008166/fp0033714_ntnsar.htm"
"QUALIF","2587","Qualification.   This could be related to legal or regulatory qualifications.","https://www.sec.gov/Archives/edgar/data/1671941/999999999424000138/9999999994-24-000138-index.html","https://www.sec.gov/Archives/edgar/data/1671941/999999999424000138/xslQUALIFX01/primary_doc.xml"
"N-14/A","2582","Amendment to a registration statement filed on Form N-14, which is used for registering securities issued in exchange offer transactions. ","https://www.sec.gov/Archives/edgar/data/1396092/000199937124010603/0001999371-24-010603-index.html","https://www.sec.gov/Archives/edgar/data/1396092/000199937124010603/wft_n14a-082324.htm"
"N-VPFS","2568","Notice of Eligibility for Sales of Securities. Filed by certain investment companies to establish their eligibility to sell securities.","https://www.sec.gov/Archives/edgar/data/1052863/000119312524151997/0001193125-24-151997-index.html","https://www.sec.gov/Archives/edgar/data/1052863/000119312524151997/d824109dnvpfs.htm"
"PRER14C","2550","Preliminary Information Statement (Regulation 14C). This is an early version of the information statement, similar to a preliminary proxy statement.","https://www.sec.gov/Archives/edgar/data/1835681/000119312524207833/0001193125-24-207833-index.html","https://www.sec.gov/Archives/edgar/data/1835681/000119312524207833/d836904dprer14c.htm"
"SEC STAFF","2536","Documents or communications originating from the SEC staff. These could be comment letters, guidance, or other official correspondence.","https://www.sec.gov/Archives/edgar/data/84129/999999999724003676/9999999997-24-003676-index.html","https://www.sec.gov/Archives/edgar/data/84129/999999999724003676/filename1.pdf"
"424H","2529","Prospectus.   Provides detailed information about a securities offering.","https://www.sec.gov/Archives/edgar/data/2032772/000153949724001702/0001539497-24-001702-index.html","https://www.sec.gov/Archives/edgar/data/1013611/000153949724001702/n4440_x10-424h.htm"
"U-12-IB","2508","Registration Statement.   Used for registering securities of a foreign government or political subdivision.","https://www.sec.gov/Archives/edgar/data/3153/000009212206000030/0000092122-06-000030-index.html","https://www.sec.gov/Archives/edgar/data/3153/000009212206000030/akridge.txt"
"F-1","2473","Registration Statement for Certain Foreign Private Issuers.  Foreign companies use this to offer securities in the US.","https://www.sec.gov/Archives/edgar/data/1595353/000149315224034598/0001493152-24-034598-index.html","https://www.sec.gov/Archives/edgar/data/1595353/000149315224034598/formf-1.htm"
"SC 14F1","2431","Statement of Ownership - Schedule 14F1. Filed by certain institutional investment managers who own more than $100 million in securities.","https://www.sec.gov/Archives/edgar/data/1485029/000109690624001391/0001096906-24-001391-index.html","https://www.sec.gov/Archives/edgar/data/1485029/000109690624001391/nahd_sc14f1.htm"
"ADV-E","2417","Certification for wrapping products. Filed by investment advisers who offer or manage wrap fee programs.","https://www.sec.gov/Archives/edgar/data/947663/999999999712011771/9999999997-12-011771-index.html","https://www.sec.gov/Archives/edgar/data/947663/999999999712011771/9999999997-12-011771.paper"
"MA/A","2416","Amendment to a Merger Agreement. Filed to reflect any changes or amendments made to the initial merger agreement between companies.","https://www.sec.gov/Archives/edgar/data/724683/000072468324000030/0000724683-24-000030-index.html","https://www.sec.gov/Archives/edgar/data/724683/000072468324000030/xslFormMA_X01/primary_doc.xml"
"1-A","2401","Regulation A Offering Statement. Used by smaller companies to raise capital from the public under a simplified registration process.","https://www.sec.gov/Archives/edgar/data/2016678/000121390024074502/0001213900-24-074502-index.html","https://www.sec.gov/Archives/edgar/data/2016678/000121390024074502/xsl1-A_X01/primary_doc.xml"
"8-A12G/A","2376","Amendment to a Registration of a Class of Securities Under Section 12(g). Filed to correct or update information from a previous 8-A12G filing.","https://www.sec.gov/Archives/edgar/data/1340476/000095017024090112/0000950170-24-090112-index.html","https://www.sec.gov/Archives/edgar/data/1340476/000095017024090112/drtt-8aa-08022024-arrigh.htm"
"N-4","2368","Registration Statement.  Used by investment companies to register securities they plan to offer.","https://www.sec.gov/Archives/edgar/data/845775/000084577523000040/0000845775-23-000040-index.html","https://www.sec.gov/Archives/edgar/data/845775/000084577523000040/indexadvnplusnydec2023.htm"
"CB/A","2366","Amendment to Currency Backup Filing.   Used to update or correct information.","https://www.sec.gov/Archives/edgar/data/2022329/000110465924085686/0001104659-24-085686-index.html","https://www.sec.gov/Archives/edgar/data/2021603/000110465924085686/tm2420831d1_cba.htm"
"SC 14D1","2361","Tender Offer Statement. Filed by any person or group making a tender offer to purchase a substantial percentage of a company's securities.","https://www.sec.gov/Archives/edgar/data/4672/000106880000000013/0001068800-00-000013-index.html","https://www.sec.gov/Archives/edgar/data/4672/000106880000000013/"
"S-1MEF","2291","Registration Statement.  Used by companies that are considered “emerging growth companies” (EGCs).","https://www.sec.gov/Archives/edgar/data/1716621/000165495424011293/0001654954-24-011293-index.html","https://www.sec.gov/Archives/edgar/data/1716621/000165495424011293/rmed_s1mef.htm"
"POS 8C","2251","Post-Effective Amendment.  Updates a registration statement or other filing.","https://www.sec.gov/Archives/edgar/data/1896036/000110465924081549/0001104659-24-081549-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1896036/000110465924081549/tm2418668d1_pos8c.htm"
"N-MFP/A","2243","Amendment to Monthly Schedule of Portfolio Holdings of Money Market Funds.  ","https://www.sec.gov/Archives/edgar/data/1107414/000114554916016111/0001145549-16-016111-index.html","https://www.sec.gov/Archives/edgar/data/1107414/000114554916016111/xslFormN-MFP_X01/primary_doc.xml"
"NTN 10Q","2232","Notice of Late Filing of Form 10-Q. This form is used by companies that are unable to file their Form 10-Q (quarterly report) by the required deadline.","https://www.sec.gov/Archives/edgar/data/1413891/000151116416001091/0001511164-16-001091-index.html","https://www.sec.gov/Archives/edgar/data/1413891/000151116416001091/mvtg12b25083116.htm"
"N-8F ORDR","2199","Order under Section 8(f).   Relates to investment company regulations.","https://www.sec.gov/Archives/edgar/data/1914404/999999999724003624/9999999997-24-003624-index.html","https://www.sec.gov/Archives/edgar/data/1914404/999999999724003624/filename1.pdf"
"NT 20-F","2195","Notice of Late Filing of Form 20-F. Filed by foreign private issuers that are unable to file their Form 20-F (annual report) on time.","https://www.sec.gov/Archives/edgar/data/1467808/000092963824002758/0000929638-24-002758-index.html","https://www.sec.gov/Archives/edgar/data/1467808/000092963824002758/global12b.htm"
"U-1/A","2171","Amendment to Notification Updating Statement. Filed by Canadian companies listed on U.S. exchanges.","https://www.sec.gov/Archives/edgar/data/1109357/000095013406001685/0000950134-06-001685-index.html","https://www.sec.gov/Archives/edgar/data/1109357/000095013406001685/h32600a5uv1za.htm"
"1-A POS","2166","Post-Effective Amendment to a Form 1-A. Used for offerings under Regulation A, a simplified registration process for smaller companies.","https://www.sec.gov/Archives/edgar/data/2025051/000202505124000006/0002025051-24-000006-index.html","https://www.sec.gov/Archives/edgar/data/2025051/000202505124000006/xsl1-A_X01/primary_doc.xml"
"40-6C","2116","Certification of Investment Company Reporting Adviser That a Filer or Its Control Persons Are Not Subject to Disqualification under Section 9 of the Investment Company Act and Rule 9h-1 Thereunder.  Filed by investment company reporting advisers.","https://www.sec.gov/Archives/edgar/data/1376113/999999999707042835/9999999997-07-042835-index.html","https://www.sec.gov/Archives/edgar/data/1141051/999999999707042835/9999999997-07-042835.paper"
"N-4/A","2092","Amendment to registration statement for investment companies. Filed by investment companies, typically mutual funds or ETFs, to update or correct information in a previously filed Form N-4.","https://www.sec.gov/Archives/edgar/data/9713/000110465924059778/0001104659-24-059778-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/9713/000110465924059778/tm2330801-8_n4a.htm"
"N-PX/A","2088","Amendment to a report of proxy voting records.  Filed to correct or add information from a previously filed N-PX.","https://www.sec.gov/Archives/edgar/data/1564835/000175496024000463/0001754960-24-000463-index.html","https://www.sec.gov/Archives/edgar/data/1564835/000175496024000463/xslN-PX_X01/primary_doc.xml"
"APP WD","2078","Application Withdrawn.  Refers to the withdrawal of an application or request that was previously filed with the SEC.","https://www.sec.gov/Archives/edgar/data/80255/000094562124000681/0000945621-24-000681-index.html","https://www.sec.gov/Archives/edgar/data/80255/000094562124000681/trowepriceetf40appwd.htm"
"N-8F NTC","2053","Notice of Election to Be Regulated as a Business Development Company.  Filed by investment companies that intend to operate as Business Development Companies (BDCs).","https://www.sec.gov/Archives/edgar/data/1914404/999999999724003395/9999999997-24-003395-index.html","https://www.sec.gov/Archives/edgar/data/1914404/999999999724003395/filename1.pdf"
"F-3ASR","2044","Automatic Shelf Registration Statement on Form F-3. This allows companies to offer and sell securities on a delayed or continuous basis under a simplified registration process.","https://www.sec.gov/Archives/edgar/data/1004315/000119312524208364/0001193125-24-208364-index.html","https://www.sec.gov/Archives/edgar/data/1004315/000119312524208364/d876047df3asr.htm"
"S-3MEF","2037","Registration statement.  Filed by companies that are considered “emerging growth companies” (EGCs)","https://www.sec.gov/Archives/edgar/data/1625101/000119312524178803/0001193125-24-178803-index.html","https://www.sec.gov/Archives/edgar/data/1625101/000119312524178803/d857900ds3mef.htm"
"13F-NT/A","2025","Amendment to a Notice of Inability to File Form 13F on Time. Filed by institutional investment managers who were previously unable to file their Form 13F.","https://www.sec.gov/Archives/edgar/data/1652115/000142050624001814/0001420506-24-001814-index.html","https://www.sec.gov/Archives/edgar/data/1652115/000142050624001814/xslForm13F_X02/primary_doc.xml"
"N-23C-2","1988","Initial notification and filing of proposed rule change by a national securities association related to corporate governance.  This involves updates to rules and regulations governing the association's members.","https://www.sec.gov/Archives/edgar/data/1232860/000119312524208840/0001193125-24-208840-index.html","https://www.sec.gov/Archives/edgar/data/1232860/000119312524208840/d856237dn23c2.htm"
"N-CEN/A","1979","Amendment to notification of ceasing registration as an investment company. Filed when there are changes or corrections to information in the initial notification.","https://www.sec.gov/Archives/edgar/data/768609/000175272424174183/0001752724-24-174183-index.html","https://www.sec.gov/Archives/edgar/data/768609/000175272424174183/xslFormN-CEN_X01/primary_doc.xml"
"1-K","1952","Annual Report for Employee Stock Purchase, Savings, and Similar Plans.  Filed by companies that offer these types of plans to their employees.","https://www.sec.gov/Archives/edgar/data/1916324/000149315224034168/0001493152-24-034168-index.html","https://www.sec.gov/Archives/edgar/data/1916324/000149315224034168/xsl1-K_X01/primary_doc.xml"
"144/A","1921","Amendment to a notice of proposed sale of securities. Filed to correct or update information from a previously filed Form 144, which relates to the sale of restricted securities.","https://www.sec.gov/Archives/edgar/data/7789/000002050224000009/0000020502-24-000009-index.html","https://www.sec.gov/Archives/edgar/data/7789/000002050224000009/xsl144X01/primary_doc.xml"
"N-1A","1897","Registration Statement for Open-End Management Investment Companies.   This is the primary registration form for mutual funds.","https://www.sec.gov/Archives/edgar/data/2035827/000110465924095593/0001104659-24-095593-index.html","https://www.sec.gov/Archives/edgar/data/2035827/000110465924095593/tm2422492d2_n1a.htm"
"DEL AM","1841","Delayed Amendment. This indicates that an amendment to a previously filed document will be filed later.","https://www.sec.gov/Archives/edgar/data/1775734/000149315224033528/0001493152-24-033528-index.html","https://www.sec.gov/Archives/edgar/data/1775734/000149315224033528/formdelam.htm"
"1-SA","1772","Simplified Short Form Annual Statement for Reporting Companies.  ","https://www.sec.gov/Archives/edgar/data/1741220/000149315224033711/0001493152-24-033711-index.html","https://www.sec.gov/Archives/edgar/data/1741220/000149315224033711/form1-sa.htm"
"NT 11-K","1714","Notice of Late Filing of Form 11-K. Filed by companies that are unable to file their Form 11-K, which relates to employee stock purchase plans, on time.","https://www.sec.gov/Archives/edgar/data/923796/000119312524173300/0001193125-24-173300-index.html","https://www.sec.gov/Archives/edgar/data/923796/000119312524173300/d26497dnt11k.htm"
